Age	Type	City	Price Range	Capacity	Area	Number of Menu Items	Profit
Developed	Cafeteria	San Diego	$$	No seat	Suburbs	Salad & Sandwich only	60529
Recent	Banquet	San Francisco	$$$	No seat	Suburbs	Salad bar only	55485
Well-Known	Cafeteria	San Diego	$$	70-90	Suburbs	10-15	98425
Recent	Banquet	Los Angeles	$$$$	20-30	Downtown	7-10	117929
Recent	Banquet	Sacramento	$$$	10-15	Suburbs	5-7	79745
Well-Known	Banquet	Sacramento	$$$$	15-20	Downtown	10-15	112438
Developed	Cafeteria	Los Angeles	$$$$$	50-70	Suburbs	5-7	73545
Well-Known	Full Service Restaurant	San Diego	$$	15-20	Suburbs	Salad & Sandwich only	79310
Developed	Banquet	San Francisco	$$$	No seat	Downtown	15+	78438
Developed	Cafeteria	San Diego	$$$$	100+	Suburbs	10-15	81489
Well-Known	Banquet	San Francisco	$	30-50	Downtown	Salad bar only	55325
Well-Known	Banquet	Sacramento	$$$$$	30-50	Downtown	7-10	138924
Recent	Cafeteria	Los Angeles	$$$$$	30-50	Suburbs	7-10	60159
Recent	Cafeteria	Sacramento	$$	<10	Suburbs	Salad bar only	41106
Well-Known	Cafeteria	San Francisco	$$	15-20	Suburbs	5-7	84607
Developed	Banquet	Sacramento	$$	100+	Downtown	15+	108610
Developed	Cafeteria	Los Angeles	$$	50-70	Suburbs	Salad bar only	54894
Recent	Full Service Restaurant	Los Angeles	$$$$	20-30	Downtown	< 5	125696
Developed	Banquet	Sacramento	$$$	90-100	Downtown	5-7	100286
Developed	Full Service Restaurant	San Francisco	$	No seat	Downtown	15+	54462
Developed	Cafeteria	San Diego	$$$$	100+	Suburbs	7-10	64535
Recent	Banquet	Sacramento	$$$	20-30	Downtown	15+	100666
Recent	Full Service Restaurant	Los Angeles	$	100+	Downtown	5-7	84054
Developed	Cafeteria	San Diego	$$$	15-20	Suburbs	5-7	92263
Well-Known	Banquet	Sacramento	$$$$	70-90	Downtown	Salad bar only	84725
Recent	Full Service Restaurant	Los Angeles	$	15-20	Downtown	5-7	98828
Well-Known	Cafeteria	San Diego	$$$	30-50	Downtown	< 5	65861
Recent	Full Service Restaurant	Sacramento	$$$	No seat	Downtown	5-7	98393
Recent	Full Service Restaurant	San Diego	$$$$	70-90	Suburbs	Salad & Sandwich only	68456
Developed	Full Service Restaurant	Los Angeles	$$$$	20-30	Downtown	< 5	134124
Developed	Full Service Restaurant	San Francisco	$	100+	Suburbs	15+	113529
Developed	Cafeteria	Los Angeles	$$$$	No seat	Suburbs	Salad bar only	61403
Developed	Banquet	San Diego	$$$$$	20-30	Suburbs	5-7	103466
Recent	Cafeteria	Sacramento	$$$$$	70-90	Suburbs	7-10	56817
Recent	Cafeteria	Sacramento	$$	50-70	Downtown	15+	120014
Well-Known	Banquet	San Diego	$$$$$	30-50	Downtown	15+	173437
Recent	Cafeteria	San Francisco	$	No seat	Downtown	Salad bar only	47761
Developed	Cafeteria	Sacramento	$	10-15	Downtown	10-15	46241
Developed	Banquet	San Francisco	$	100+	Suburbs	Salad bar only	45045
Developed	Banquet	San Francisco	$$	<10	Suburbs	< 5	76239
Developed	Full Service Restaurant	Los Angeles	$$$	10-15	Downtown	15+	108446
Developed	Banquet	Sacramento	$	100+	Downtown	7-10	60261
Well-Known	Cafeteria	Los Angeles	$$	<10	Downtown	5-7	54274
Recent	Cafeteria	San Francisco	$$	100+	Suburbs	Salad bar only	46536
Developed	Full Service Restaurant	San Francisco	$$$	No seat	Downtown	< 5	101044
Developed	Cafeteria	Los Angeles	$$$	10-15	Downtown	Salad & Sandwich only	75093
Well-Known	Cafeteria	San Diego	$$	100+	Downtown	Salad bar only	46271
Recent	Banquet	Los Angeles	$	<10	Suburbs	7-10	55572
Well-Known	Full Service Restaurant	San Diego	$$$$	No seat	Suburbs	7-10	111932
Recent	Cafeteria	Los Angeles	$$	50-70	Suburbs	10-15	91006
Recent	Banquet	Los Angeles	$$	50-70	Suburbs	Salad & Sandwich only	52735
Developed	Full Service Restaurant	San Diego	$	100+	Downtown	10-15	106285
Well-Known	Full Service Restaurant	Sacramento	$$$$$	30-50	Suburbs	< 5	126430
Developed	Full Service Restaurant	Sacramento	$$$$$	20-30	Downtown	Salad bar only	100509
Well-Known	Banquet	Los Angeles	$$$$	<10	Suburbs	5-7	102037
Developed	Banquet	San Diego	$$$	15-20	Downtown	15+	96920
Recent	Cafeteria	Los Angeles	$	<10	Downtown	< 5	31078
Developed	Cafeteria	Sacramento	$$$$	<10	Suburbs	Salad bar only	64606
Recent	Cafeteria	Los Angeles	$$$	90-100	Suburbs	10-15	73493
Developed	Full Service Restaurant	Sacramento	$	30-50	Suburbs	Salad & Sandwich only	59944
Developed	Banquet	Sacramento	$$$$$	70-90	Suburbs	Salad & Sandwich only	61858
Developed	Cafeteria	Sacramento	$$$$$	50-70	Suburbs	< 5	56267
Well-Known	Cafeteria	Sacramento	$	15-20	Downtown	10-15	43007
Developed	Full Service Restaurant	San Diego	$$$$$	15-20	Downtown	5-7	141982
Well-Known	Full Service Restaurant	Los Angeles	$$	90-100	Downtown	15+	114429
Well-Known	Full Service Restaurant	Los Angeles	$$	15-20	Suburbs	Salad bar only	83497
Recent	Cafeteria	San Diego	$$$	90-100	Downtown	7-10	81351
Developed	Full Service Restaurant	San Francisco	$$$$$	<10	Downtown	15+	112815
Well-Known	Cafeteria	Los Angeles	$$$$	100+	Downtown	< 5	72358
Developed	Banquet	Sacramento	$$$$$	15-20	Downtown	5-7	130798
Recent	Banquet	San Diego	$$$$$	100+	Suburbs	Salad & Sandwich only	46021
Well-Known	Banquet	San Diego	$$$	No seat	Suburbs	5-7	80405
Developed	Cafeteria	San Francisco	$$$$$	30-50	Downtown	10-15	124086
Developed	Cafeteria	Los Angeles	$$$$$	No seat	Suburbs	< 5	50388
Recent	Full Service Restaurant	San Diego	$$$$	15-20	Downtown	7-10	130127
Developed	Full Service Restaurant	Los Angeles	$$$	90-100	Suburbs	< 5	89908
Developed	Cafeteria	San Diego	$	10-15	Downtown	7-10	58872
Well-Known	Full Service Restaurant	San Diego	$	15-20	Downtown	10-15	94779
Developed	Full Service Restaurant	Los Angeles	$$$	30-50	Suburbs	15+	140651
Well-Known	Banquet	San Francisco	$$	10-15	Suburbs	5-7	86398
Well-Known	Banquet	Los Angeles	$	10-15	Downtown	< 5	68476
Well-Known	Banquet	San Diego	$	10-15	Suburbs	Salad bar only	54422
Well-Known	Cafeteria	Los Angeles	$$$	<10	Suburbs	10-15	68978
Well-Known	Cafeteria	San Francisco	$$$$	30-50	Downtown	Salad bar only	67768
Developed	Cafeteria	San Francisco	$	<10	Downtown	5-7	42739
Well-Known	Full Service Restaurant	San Diego	$$$$	50-70	Suburbs	Salad bar only	107676
Developed	Cafeteria	Los Angeles	$	<10	Downtown	10-15	38784
Developed	Cafeteria	San Diego	$$$$	90-100	Suburbs	5-7	61103
Well-Known	Banquet	San Diego	$$	10-15	Downtown	Salad bar only	63726
Well-Known	Full Service Restaurant	San Diego	$	10-15	Downtown	5-7	90582
Well-Known	Banquet	Sacramento	$	20-30	Suburbs	10-15	77264
Recent	Full Service Restaurant	Los Angeles	$$$$	90-100	Suburbs	15+	116786
Well-Known	Full Service Restaurant	San Diego	$$$$	No seat	Downtown	15+	93815
Well-Known	Full Service Restaurant	Sacramento	$	100+	Downtown	Salad & Sandwich only	73371
Well-Known	Cafeteria	San Diego	$$$$$	10-15	Downtown	< 5	121314
Developed	Banquet	Los Angeles	$	50-70	Downtown	Salad & Sandwich only	59342
Recent	Banquet	San Francisco	$$$	20-30	Downtown	15+	98876
Developed	Banquet	Los Angeles	$$	90-100	Downtown	10-15	89989
Developed	Cafeteria	San Francisco	$	<10	Downtown	5-7	32786
Recent	Cafeteria	Los Angeles	$$$	30-50	Downtown	10-15	113349
Well-Known	Banquet	Los Angeles	$$$$$	100+	Suburbs	< 5	114634
Developed	Cafeteria	Los Angeles	$	90-100	Suburbs	10-15	71735
Recent	Full Service Restaurant	Sacramento	$$$$$	<10	Suburbs	10-15	62140
Recent	Full Service Restaurant	Sacramento	$	No seat	Downtown	Salad & Sandwich only	74400
Recent	Full Service Restaurant	San Diego	$$$	100+	Downtown	15+	132843
Developed	Cafeteria	Los Angeles	$$$$	15-20	Downtown	15+	91330
Developed	Full Service Restaurant	San Diego	$$$$	No seat	Downtown	Salad bar only	109370
Recent	Cafeteria	Los Angeles	$	15-20	Downtown	10-15	59166
Developed	Cafeteria	San Francisco	$$$	15-20	Downtown	Salad bar only	72954
Recent	Full Service Restaurant	Sacramento	$	100+	Downtown	7-10	88296
Developed	Banquet	San Diego	$$$$$	10-15	Downtown	15+	109541
Well-Known	Full Service Restaurant	Sacramento	$$	No seat	Downtown	10-15	78003
Developed	Banquet	San Diego	$	No seat	Downtown	10-15	43571
Well-Known	Banquet	San Diego	$$$$	30-50	Downtown	Salad & Sandwich only	83793
Recent	Full Service Restaurant	San Francisco	$$$	<10	Downtown	15+	102549
Recent	Banquet	San Diego	$	15-20	Suburbs	10-15	90190
Well-Known	Banquet	Sacramento	$$	10-15	Downtown	5-7	82812
Well-Known	Cafeteria	San Francisco	$$$$$	<10	Downtown	7-10	102656
Well-Known	Full Service Restaurant	San Diego	$$$$$	50-70	Downtown	Salad bar only	135469
Developed	Full Service Restaurant	Sacramento	$$$	50-70	Suburbs	5-7	103633
Recent	Full Service Restaurant	Los Angeles	$$$	<10	Suburbs	15+	77876
Developed	Cafeteria	Los Angeles	$	20-30	Suburbs	5-7	75077
Developed	Banquet	San Diego	$$$	100+	Suburbs	10-15	112713
Well-Known	Cafeteria	San Francisco	$$	70-90	Downtown	15+	99949
Well-Known	Cafeteria	Sacramento	$	50-70	Suburbs	Salad bar only	23272
Well-Known	Cafeteria	San Diego	$$	30-50	Downtown	< 5	57356
Developed	Cafeteria	San Diego	$$	50-70	Downtown	10-15	92340
Well-Known	Banquet	San Diego	$$	No seat	Suburbs	10-15	51877
Recent	Full Service Restaurant	San Diego	$$	90-100	Suburbs	Salad & Sandwich only	77805
Well-Known	Cafeteria	San Diego	$$	15-20	Suburbs	7-10	83425
Developed	Full Service Restaurant	Los Angeles	$	30-50	Downtown	15+	124380
Recent	Banquet	San Diego	$$$	30-50	Suburbs	< 5	66496
Developed	Banquet	Los Angeles	$$$$	100+	Suburbs	Salad & Sandwich only	68326
Developed	Cafeteria	San Diego	$$$$	50-70	Downtown	< 5	91191
Well-Known	Banquet	Sacramento	$$$	No seat	Downtown	7-10	65496
Well-Known	Banquet	San Francisco	$$$	No seat	Downtown	< 5	64153
Well-Known	Banquet	Los Angeles	$$$$	50-70	Suburbs	< 5	107850
Well-Known	Cafeteria	San Diego	$$	10-15	Suburbs	Salad bar only	33828
Recent	Cafeteria	San Francisco	$$$$$	70-90	Suburbs	5-7	63700
Developed	Cafeteria	Los Angeles	$$	10-15	Suburbs	Salad & Sandwich only	60403
Developed	Banquet	Sacramento	$$$$$	20-30	Downtown	5-7	122113
Well-Known	Full Service Restaurant	San Francisco	$$$$	20-30	Suburbs	15+	129555
Developed	Cafeteria	San Diego	$	30-50	Downtown	7-10	70018
Well-Known	Cafeteria	Los Angeles	$$	70-90	Suburbs	15+	95307
Recent	Banquet	San Diego	$$$$	50-70	Downtown	7-10	101826
Well-Known	Full Service Restaurant	Sacramento	$	15-20	Downtown	10-15	85253
Developed	Cafeteria	San Diego	$$$	70-90	Downtown	5-7	86344
Recent	Cafeteria	San Francisco	$$$$	15-20	Suburbs	5-7	77799
Well-Known	Full Service Restaurant	Los Angeles	$$	<10	Downtown	Salad & Sandwich only	92855
Recent	Full Service Restaurant	San Diego	$	30-50	Suburbs	Salad & Sandwich only	82547
Well-Known	Full Service Restaurant	Sacramento	$$$$$	90-100	Downtown	15+	177926
Recent	Full Service Restaurant	San Diego	$	10-15	Downtown	Salad bar only	71447
Recent	Banquet	San Francisco	$$$	70-90	Suburbs	Salad & Sandwich only	57807
Recent	Full Service Restaurant	Los Angeles	$$	30-50	Downtown	15+	130875
Recent	Banquet	San Francisco	$	90-100	Suburbs	< 5	68456
Developed	Banquet	San Francisco	$$$$$	15-20	Suburbs	7-10	102466
Developed	Cafeteria	San Diego	$	30-50	Suburbs	< 5	47233
Developed	Full Service Restaurant	Sacramento	$$$$	70-90	Downtown	7-10	127923
Recent	Banquet	San Diego	$$$$$	90-100	Downtown	< 5	90013
Recent	Banquet	Los Angeles	$$$$	<10	Downtown	Salad & Sandwich only	101764
Recent	Banquet	San Diego	$$$$$	10-15	Suburbs	15+	71233
Developed	Cafeteria	Sacramento	$$$	20-30	Suburbs	< 5	77306
Recent	Full Service Restaurant	San Diego	$$	15-20	Suburbs	10-15	101252
Recent	Banquet	San Diego	$$$$$	30-50	Downtown	< 5	82689
Developed	Cafeteria	Los Angeles	$	70-90	Suburbs	15+	99594
Well-Known	Full Service Restaurant	San Diego	$$	10-15	Downtown	15+	76314
Recent	Banquet	Sacramento	$$$$	20-30	Suburbs	10-15	86146
Developed	Full Service Restaurant	Los Angeles	$	100+	Suburbs	< 5	75304
Recent	Cafeteria	San Diego	$$$	10-15	Suburbs	< 5	53170
Recent	Cafeteria	San Francisco	$$	70-90	Downtown	Salad & Sandwich only	45845
Well-Known	Cafeteria	San Diego	$$$$	10-15	Downtown	10-15	92981
Developed	Full Service Restaurant	San Diego	$$$	70-90	Suburbs	10-15	130590
Developed	Banquet	San Diego	$$$$$	15-20	Downtown	7-10	121699
Well-Known	Cafeteria	Los Angeles	$	15-20	Downtown	10-15	60584
Developed	Banquet	San Francisco	$	30-50	Downtown	10-15	110780
Recent	Full Service Restaurant	San Francisco	$$$$	100+	Suburbs	< 5	74610
Recent	Cafeteria	San Diego	$$$	15-20	Suburbs	Salad bar only	37857
Well-Known	Banquet	San Francisco	$$$$	50-70	Suburbs	Salad bar only	88180
Developed	Banquet	San Francisco	$$	90-100	Downtown	< 5	77478
Well-Known	Full Service Restaurant	San Diego	$$$$	10-15	Suburbs	5-7	132828
Well-Known	Banquet	San Diego	$$$	<10	Downtown	< 5	65493
Recent	Full Service Restaurant	San Diego	$$$	30-50	Suburbs	15+	128706
Developed	Full Service Restaurant	San Diego	$	10-15	Downtown	< 5	97274
Developed	Cafeteria	Los Angeles	$$$$	30-50	Suburbs	15+	110467
Developed	Banquet	San Diego	$$	50-70	Downtown	Salad & Sandwich only	66741
Developed	Full Service Restaurant	Los Angeles	$$$$	70-90	Downtown	10-15	154501
Recent	Full Service Restaurant	San Diego	$	15-20	Downtown	10-15	87011
Recent	Cafeteria	San Diego	$$$$$	70-90	Suburbs	15+	97412
Well-Known	Full Service Restaurant	Sacramento	$$$	100+	Suburbs	15+	137084
Recent	Banquet	Sacramento	$$	70-90	Downtown	10-15	123913
Recent	Cafeteria	Sacramento	$$$$	100+	Downtown	15+	102446
Developed	Full Service Restaurant	Sacramento	$	90-100	Suburbs	Salad bar only	62337
Well-Known	Cafeteria	San Diego	$	<10	Suburbs	7-10	35306
Well-Known	Banquet	Los Angeles	$$$	50-70	Downtown	Salad bar only	62643
Well-Known	Full Service Restaurant	Sacramento	$$$$$	70-90	Suburbs	Salad bar only	114197
Recent	Cafeteria	San Francisco	$$$$$	<10	Suburbs	15+	31923
Well-Known	Full Service Restaurant	San Francisco	$$$$$	10-15	Downtown	10-15	138412
Developed	Cafeteria	Los Angeles	$$$$	90-100	Suburbs	10-15	98134
Well-Known	Cafeteria	San Diego	$$$	No seat	Downtown	15+	58705
Recent	Full Service Restaurant	San Francisco	$$$	No seat	Downtown	15+	97385
Developed	Full Service Restaurant	Los Angeles	$$$	50-70	Suburbs	< 5	98630
Developed	Banquet	Los Angeles	$$$$$	10-15	Suburbs	5-7	91198
Recent	Banquet	Los Angeles	$$$	No seat	Downtown	15+	83300
Recent	Full Service Restaurant	San Diego	$$$$$	<10	Suburbs	< 5	78022
Well-Known	Full Service Restaurant	San Francisco	$$$$$	100+	Suburbs	Salad bar only	115725
Developed	Full Service Restaurant	San Francisco	$$$	100+	Downtown	10-15	141582
Recent	Cafeteria	Los Angeles	$$$$$	No seat	Downtown	7-10	66290
Well-Known	Cafeteria	Sacramento	$$$$	10-15	Suburbs	7-10	104068
Well-Known	Cafeteria	Los Angeles	$$	<10	Downtown	7-10	52627
Recent	Full Service Restaurant	San Diego	$$$$	<10	Suburbs	7-10	75702
Well-Known	Banquet	Sacramento	$$$	50-70	Suburbs	7-10	108361
Developed	Cafeteria	San Francisco	$$$$	20-30	Suburbs	< 5	73656
Developed	Cafeteria	San Diego	$$$	90-100	Downtown	5-7	69604
Well-Known	Full Service Restaurant	Sacramento	$$	70-90	Suburbs	10-15	129586
Developed	Banquet	San Diego	$$$$	<10	Downtown	Salad bar only	97495
Developed	Banquet	Sacramento	$$$	No seat	Downtown	10-15	76195
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	30-50	Suburbs	< 5	139145
Developed	Banquet	San Diego	$$$$$	No seat	Suburbs	Salad & Sandwich only	76204
Recent	Cafeteria	Sacramento	$$	30-50	Suburbs	15+	82005
Well-Known	Full Service Restaurant	Los Angeles	$$	50-70	Downtown	Salad bar only	68303
Recent	Full Service Restaurant	Sacramento	$$	30-50	Suburbs	10-15	130910
Developed	Banquet	San Francisco	$$$	15-20	Suburbs	< 5	98470
Recent	Cafeteria	Los Angeles	$$$$$	<10	Downtown	10-15	65634
Well-Known	Cafeteria	San Diego	$$$$	90-100	Suburbs	5-7	84810
Well-Known	Banquet	San Francisco	$$$$$	70-90	Downtown	< 5	126297
Developed	Full Service Restaurant	Los Angeles	$$	No seat	Suburbs	Salad & Sandwich only	90707
Recent	Banquet	Los Angeles	$$	10-15	Downtown	Salad bar only	61599
Recent	Cafeteria	Sacramento	$$$$$	70-90	Downtown	10-15	108148
Recent	Banquet	San Francisco	$$$	15-20	Downtown	7-10	114235
Well-Known	Cafeteria	San Francisco	$$$$	30-50	Suburbs	7-10	110388
Recent	Full Service Restaurant	Los Angeles	$$$$$	10-15	Downtown	5-7	110205
Recent	Full Service Restaurant	San Francisco	$$$$	<10	Downtown	Salad & Sandwich only	110232
Developed	Cafeteria	Sacramento	$	70-90	Suburbs	7-10	71669
Recent	Cafeteria	Los Angeles	$$$	20-30	Downtown	15+	83672
Recent	Cafeteria	San Francisco	$$	10-15	Suburbs	15+	46774
Developed	Full Service Restaurant	Sacramento	$$$$	15-20	Downtown	5-7	147811
Recent	Full Service Restaurant	San Francisco	$$$$	90-100	Suburbs	Salad bar only	58493
Recent	Full Service Restaurant	Sacramento	$$$$	10-15	Downtown	Salad & Sandwich only	101915
Well-Known	Full Service Restaurant	Sacramento	$$$$$	10-15	Downtown	5-7	152424
Developed	Cafeteria	Sacramento	$$$$	30-50	Downtown	10-15	129041
Recent	Full Service Restaurant	San Diego	$$	No seat	Downtown	10-15	75132
Developed	Banquet	Los Angeles	$$$$	50-70	Suburbs	< 5	87127
Developed	Cafeteria	San Diego	$$$$$	15-20	Downtown	Salad & Sandwich only	81572
Developed	Cafeteria	San Francisco	$$$	70-90	Suburbs	15+	122763
Recent	Banquet	Los Angeles	$$	30-50	Suburbs	Salad bar only	49801
Recent	Banquet	Los Angeles	$$$	<10	Downtown	7-10	83257
Well-Known	Cafeteria	San Francisco	$	90-100	Downtown	5-7	49700
Well-Known	Full Service Restaurant	San Francisco	$	15-20	Downtown	Salad & Sandwich only	60794
Recent	Full Service Restaurant	San Diego	$$$$	15-20	Downtown	10-15	117788
Well-Known	Full Service Restaurant	San Francisco	$$$$$	10-15	Suburbs	7-10	141126
Recent	Full Service Restaurant	Los Angeles	$	100+	Suburbs	Salad bar only	67650
Recent	Banquet	San Francisco	$$$$$	<10	Downtown	5-7	75429
Well-Known	Cafeteria	Los Angeles	$	90-100	Suburbs	Salad bar only	37032
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	30-50	Suburbs	< 5	131795
Recent	Cafeteria	Los Angeles	$$$$	<10	Downtown	5-7	62638
Developed	Cafeteria	San Diego	$$$$$	30-50	Downtown	7-10	103888
Developed	Full Service Restaurant	Los Angeles	$$$	<10	Downtown	7-10	107165
Well-Known	Cafeteria	San Francisco	$$$$	15-20	Suburbs	Salad bar only	83263
Developed	Banquet	Sacramento	$	30-50	Suburbs	Salad bar only	41152
